winner,weight_class,title_fight,height_fighter1,reach_fighter1,stance_fighter1,SLpM_fighter1,Str_Acc_fighter1,SApM_fighter1,Str_Def_fighter1,TD_Avg_fighter1,TD_Acc_fighter1,TD_Def_fighter1,Sub_Avg_fighter1,win%_fighter1,height_fighter2,reach_fighter2,stance_fighter2,SLpM_fighter2,Str_Acc_fighter2,SApM_fighter2,Str_Def_fighter2,TD_Avg_fighter2,TD_Acc_fighter2,TD_Def_fighter2,Sub_Avg_fighter2,win%_fighter2,reach_diff,age_fighter1,age_fighter2
1,Welterweight,f,177.8,187.96,Southpaw,2.41,40.0,1.85,63.0,2.22,33.0,60.0,1.3,70.0,172.72,167.64000000000001,Orthodox,2.39,38.0,2.37,57.0,2.64,42.0,86.0,1.1,62.5,20.319999999999993,29,28
0,Welterweight,t,187.96,187.96,Orthodox,2.54,47.0,2.88,50.0,2.22,66.0,50.0,1.5,66.666664,182.88,185.42000000000002,Orthodox,1.94,65.0,0.55,38.0,7.28,50.0,100.0,3.1,68.75,2.539999999999992,28,34
0,Lightweight,f,177.8,185.42000000000002,Orthodox,2.6,32.0,2.9,54.0,2.05,31.0,61.0,0.0,80.0,175.26,177.8,Orthodox,3.35,51.0,2.63,63.0,2.0,40.0,69.0,0.0,81.818184,7.6200000000000045,24,29
0,Light Heavyweight,f,187.96,190.5,Orthodox,2.31,17.0,6.92,44.0,0.0,0.0,0.0,0.0,87.5,180.34,195.58,Switch,3.63,50.0,2.83,67.0,0.21,33.0,44.0,0.0,73.333336,-5.0800000000000125,30,33
0,Middleweight,f,185.42,190.5,Orthodox,3.93,42.0,1.99,55.0,1.58,30.0,58.0,0.0,88.888885,185.42,187.96,Orthodox,3.02,40.0,2.73,55.0,1.04,27.0,77.0,0.0,73.91304000000001,2.539999999999992,29,30
0,Light Heavyweight,f,185.42,187.96,Orthodox,3.83,46.0,4.52,64.0,0.45,8.0,75.0,0.5,75.0,187.96,200.66,Orthodox,3.45,47.0,2.64,53.0,3.25,42.0,100.0,1.2,100.0,-12.699999999999989,32,29
0,Women's Strawweight,f,170.18,175.26,Southpaw,2.67,35.0,3.65,51.0,1.25,50.0,64.0,0.8,60.0,160.02,162.56,Orthodox,5.79,51.0,5.39,63.0,0.42,60.0,74.0,0.0,61.53846,12.699999999999989,30,32
0,Welterweight,f,177.8,185.42000000000002,Southpaw,3.53,26.0,7.07,43.0,1.0,11.0,0.0,0.0,63.33333199999999,187.96,185.42000000000002,Orthodox,4.57,46.0,4.15,61.0,1.18,18.0,46.0,0.7,75.757576,0.0,31,31
1,Light Heavyweight,f,187.96,193.04,Orthodox,2.65,47.0,2.58,54.0,3.55,54.0,62.0,1.2,64.28571,185.42,195.58,Orthodox,3.18,49.0,3.05,44.0,2.41,51.0,60.0,1.3,61.53846,-2.5400000000000205,34,37
0,Women's Strawweight,f,165.1,165.1,Orthodox,1.94,44.0,2.11,55.0,1.72,31.0,70.0,0.0,64.28571,154.94,152.4,Orthodox,4.44,48.0,3.11,65.0,0.83,17.0,42.0,0.1,76.92308,12.699999999999989,35,28
1,Featherweight,f,175.26,177.8,Orthodox,1.92,32.0,2.64,66.0,2.91,47.0,81.0,0.7,58.33333199999999,170.18,175.26,Southpaw,3.21,45.0,3.5,53.0,0.52,16.0,32.0,0.0,57.894737,2.5400000000000205,38,26
0,Middleweight,t,182.88,185.42000000000002,Southpaw,3.28,50.0,2.77,63.0,1.86,32.0,78.0,0.0,81.25,182.88,185.42000000000002,Orthodox,4.82,40.0,3.65,61.0,0.37,57.0,84.0,0.0,84.0,0.0,40,27
1,Heavyweight,f,193.04,203.2,Orthodox,3.53,61.0,1.93,61.0,1.39,62.0,72.0,1.0,70.49180600000001,193.04,195.58,Orthodox,3.61,51.0,2.45,56.0,1.65,30.0,31.0,1.1,71.875,7.619999999999976,37,40
1,Heavyweight,f,193.04,203.2,Orthodox,4.2,50.0,2.26,56.0,6.82,57.0,25.0,0.0,83.333336,182.88,187.96,Southpaw,3.09,57.0,3.29,47.0,0.56,26.0,68.0,0.1,65.51724,15.23999999999998,26,35
1,Lightweight,f,177.8,182.88,Orthodox,2.85,45.0,3.16,54.0,0.76,54.0,58.0,1.3,72.413795,172.72,180.34,Southpaw,2.79,40.0,2.89,59.0,1.7,41.0,47.0,1.9,69.04762,2.539999999999992,30,34
1,Bantamweight,f,172.72,180.34,Orthodox,4.38,39.0,3.69,63.0,1.13,29.0,25.0,0.9,78.947365,170.18,172.72,Orthodox,3.92,36.0,4.08,61.0,0.89,57.0,68.0,0.0,89.28571,7.6200000000000045,30,32
1,Heavyweight,f,187.96,203.2,Orthodox,3.06,48.0,3.28,53.0,2.99,39.0,11.0,2.7,81.818184,198.12,200.66,Orthodox,2.93,41.0,4.31,42.0,1.21,68.0,75.0,0.2,69.23076999999999,2.539999999999992,40,35
0,Welterweight,f,187.96,198.12,Orthodox,3.15,26.0,6.39,54.0,0.0,0.0,0.0,0.7,58.33333199999999,177.8,180.34,Orthodox,4.77,42.0,3.6,64.0,1.07,54.0,78.0,0.0,82.35294,17.78,26,31
1,Middleweight,f,182.88,193.04,Orthodox,4.89,50.0,2.04,62.0,0.87,37.0,65.0,0.1,76.0,185.42,195.58,Southpaw,3.96,46.0,3.59,52.0,3.0,42.0,50.0,2.0,75.675674,-2.5400000000000205,33,30
0,Welterweight,f,182.88,185.42000000000002,Orthodox,3.35,44.0,2.55,69.0,1.56,58.0,66.0,0.2,72.093025,180.34,182.88,Orthodox,4.63,43.0,3.94,60.0,2.48,39.0,90.0,0.2,87.5,2.5400000000000205,28,29
1,Featherweight,f,167.64000000000001,162.56,Orthodox,4.97,49.0,3.45,62.0,4.19,71.0,88.0,0.0,89.47369,172.72,180.34,Orthodox,4.02,32.0,6.07,50.0,0.5,22.0,44.0,0.0,65.38461,-17.78,28,31
1,Light Heavyweight,f,182.88,187.96,Orthodox,5.45,66.0,1.13,76.0,3.69,100.0,66.0,0.0,100.0,193.04,205.74,Orthodox,0.65,26.0,3.64,21.0,0.0,0.0,0.0,0.0,72.72726999999999,-17.78,25,28
1,Welterweight,f,182.88,185.42000000000002,Orthodox,4.27,39.0,4.02,64.0,0.54,44.0,60.0,0.0,90.32258,180.34,182.88,Switch,2.01,56.0,3.7,51.0,1.64,62.0,70.0,1.1,80.0,2.5400000000000205,31,29
0,Women's Strawweight,f,167.64000000000001,165.1,,5.9,50.0,4.27,44.0,1.74,57.0,58.0,0.4,80.0,162.56,162.56,Orthodox,3.41,38.0,3.1,66.0,2.02,53.0,69.0,2.6,87.5,2.539999999999992,32,30
1,Lightweight,f,180.34,177.8,Orthodox,3.52,43.0,2.96,51.0,0.36,33.0,59.0,0.4,78.947365,177.8,177.8,Southpaw,3.51,45.0,2.55,55.0,0.73,55.0,55.0,0.7,73.333336,0.0,33,27
1,Middleweight,f,182.88,185.42000000000002,Orthodox,2.87,31.0,3.78,56.0,0.0,0.0,22.0,0.0,73.333336,190.5,193.04,Orthodox,7.69,48.0,5.53,59.0,0.35,100.0,58.0,0.0,76.92308,-7.619999999999976,28,36
0,Light Heavyweight,f,190.5,193.04,Orthodox,2.51,51.0,3.64,44.0,1.45,23.0,66.0,1.9,83.333336,185.42,193.04,Southpaw,2.3,34.0,3.29,38.0,0.0,0.0,50.0,0.3,66.666664,0.0,30,27
0,Heavyweight,f,177.8,185.42000000000002,Orthodox,2.4,31.0,3.47,42.0,0.0,0.0,25.0,0.0,84.61539,185.42,198.12,Southpaw,4.61,61.0,3.69,58.0,1.84,66.0,0.0,0.0,87.5,-12.699999999999989,29,30
1,Welterweight,f,185.42,187.96,Southpaw,3.71,41.0,3.44,55.0,0.0,0.0,57.0,0.5,84.210526,182.88,187.96,Orthodox,3.42,37.0,3.95,51.0,2.37,33.0,100.0,1.6,66.666664,0.0,30,27
0,Flyweight,f,162.56,162.56,Orthodox,3.56,41.0,3.79,58.0,0.78,27.0,53.0,1.6,55.172413,165.1,170.18,Orthodox,4.31,46.0,3.38,59.0,0.75,50.0,60.0,1.8,86.95652,-7.6200000000000045,38,27
1,Welterweight,f,180.34,182.88,Switch,3.63,45.0,3.63,54.0,2.37,100.0,50.0,0.0,62.5,180.34,185.42000000000002,Orthodox,1.64,19.0,7.21,53.0,0.0,0.0,0.0,0.0,50.0,-2.5400000000000205,35,37
0,Lightweight,f,165.1,175.26,Orthodox,3.8,45.0,5.59,55.0,0.0,0.0,75.0,0.0,75.0,182.88,185.42000000000002,Orthodox,6.07,53.0,4.6,45.0,0.96,33.0,100.0,2.9,85.71429,-10.160000000000025,29,29
0,Bantamweight,f,175.26,182.88,Orthodox,3.81,35.0,3.96,56.0,0.91,35.0,70.0,0.2,58.33333199999999,170.18,180.34,Orthodox,3.41,45.0,4.74,55.0,3.72,48.0,78.0,0.5,88.23529,2.539999999999992,26,25
1,Women's Bantamweight,f,175.26,167.64000000000001,Orthodox,7.56,40.0,8.41,51.0,0.0,0.0,62.0,0.0,55.55555699999999,162.56,165.1,Southpaw,8.63,64.0,12.81,47.0,1.9,100.0,0.0,0.0,75.0,2.5400000000000205,35,30
1,Middleweight,f,187.96,198.12,Orthodox,3.15,42.0,3.23,51.0,3.76,52.0,73.0,1.0,77.77778,175.26,180.34,Southpaw,3.86,43.0,2.87,61.0,0.82,50.0,62.0,0.2,80.0,17.78,33,26
1,Featherweight,f,177.8,180.34,Orthodox,3.36,37.0,2.83,53.0,2.68,35.0,57.0,1.3,78.125,167.64000000000001,167.64000000000001,Orthodox,4.44,45.0,3.2,59.0,3.8,38.0,82.0,1.0,65.38461,12.699999999999989,33,31
1,Light Heavyweight,f,187.96,193.04,Orthodox,4.21,50.0,3.36,55.0,4.51,40.0,28.0,0.1,62.5,190.5,193.04,Orthodox,4.25,42.0,5.31,56.0,0.53,23.0,83.0,0.0,62.962963,0.0,37,32
0,Bantamweight,f,170.18,177.8,Southpaw,5.66,45.0,4.65,64.0,0.0,0.0,75.0,0.0,88.0,162.56,172.72,Orthodox,4.44,42.0,3.35,63.0,0.97,27.0,100.0,0.0,91.666664,5.0800000000000125,26,28
0,Welterweight,f,182.88,187.96,Orthodox,5.73,49.0,4.57,66.0,0.6,100.0,85.0,0.0,80.0,180.34,185.42000000000002,Orthodox,4.33,40.0,2.95,62.0,0.36,10.0,50.0,0.5,80.0,2.539999999999992,32,31
